individual,substrate,dS,dL,predator,species,locality,morph
ESQ2,LeafLitter,3.195905152,0.2062142,lizard,granulifera,ESQ,green
ESQ3,LeafLitter,3.808949166,6.6777899,lizard,granulifera,ESQ,green
ESQ4,LeafLitter,2.592951475,2.6376223,lizard,granulifera,ESQ,green
ESQ5,LeafLitter,2.559113922,3.7024273,lizard,granulifera,ESQ,green
ESQ6,LeafLitter,12.04435617,6.9874377,lizard,granulifera,ESQ,green
ESQ7,LeafLitter,2.541232376,2.0046023,lizard,granulifera,ESQ,green
ESQ8,LeafLitter,12.09542121,7.6126898,lizard,granulifera,ESQ,green
ESQ1,trunk,2.261151118,2.5551836,lizard,granulifera,ESQ,green
ESQ2,trunk,2.726263492,0.8300381,lizard,granulifera,ESQ,green
ESQ3,trunk,4.062800991,5.6415375,lizard,granulifera,ESQ,green
ESQ4,trunk,2.475452591,1.60137,lizard,granulifera,ESQ,green
ESQ5,trunk,2.412309893,2.666175,lizard,granulifera,ESQ,green
ESQ6,trunk,12.41658431,5.9511854,lizard,granulifera,ESQ,green
ESQ7,trunk,2.401840134,0.96835,lizard,granulifera,ESQ,green
ESQ8,trunk,12.48555343,6.5764375,lizard,granulifera,ESQ,green
PAL1,GreenLeaf,15.00716466,5.797884,bird,granulifera,PAL,red
PAL2,GreenLeaf,14.39503959,6.1012254,bird,granulifera,PAL,red
PAL3,GreenLeaf,9.422681795,5.1317668,bird,granulifera,PAL,red
PAL4,GreenLeaf,16.05770493,11.1723688,bird,granulifera,PAL,red
PAL5,GreenLeaf,6.69327355,1.1633514,bird,granulifera,PAL,red
PAL6,GreenLeaf,12.35400523,17.543388,bird,granulifera,PAL,red
PAL7,GreenLeaf,12.33762188,0.4530781,bird,granulifera,PAL,red
PAL8,GreenLeaf,14.47642704,15.7132863,bird,granulifera,PAL,red
PAL1,LeafLitter,10.69815661,1.9221535,bird,granulifera,PAL,red
PAL2,LeafLitter,10.10397021,2.2254949,bird,granulifera,PAL,red
PAL3,LeafLitter,5.091052481,1.2560363,bird,granulifera,PAL,red
PAL4,LeafLitter,11.68466325,7.2966383,bird,granulifera,PAL,red
PAL5,LeafLitter,2.735798452,2.7123791,bird,granulifera,PAL,red
PAL6,LeafLitter,7.940809608,13.6676575,bird,granulifera,PAL,red
PAL7,LeafLitter,7.863416751,4.3288086,bird,granulifera,PAL,red
PAL8,LeafLitter,10.09918341,11.8375558,bird,granulifera,PAL,red
PAL1,trunk,11.26550385,0.1251512,bird,granulifera,PAL,red
PAL2,trunk,10.66644409,0.1781902,bird,granulifera,PAL,red
PAL3,trunk,5.659527252,0.7912684,bird,granulifera,PAL,red
PAL4,trunk,12.26794276,5.2493336,bird,granulifera,PAL,red
PAL5,trunk,3.1838098,4.7596838,bird,granulifera,PAL,red
PAL6,trunk,8.533635485,11.6203528,bird,granulifera,PAL,red
PAL7,trunk,8.468903627,6.3761133,bird,granulifera,PAL,red
PAL8,trunk,10.6816709,9.7902511,bird,granulifera,PAL,red
PAL1,GreenLeaf,6.555759945,2.1275019,crab,granulifera,PAL,red
PAL2,GreenLeaf,6.405721467,2.4123359,crab,granulifera,PAL,red
PAL3,GreenLeaf,2.698915921,1.5911363,crab,granulifera,PAL,red
PAL4,GreenLeaf,6.639170766,4.4638217,crab,granulifera,PAL,red
PAL5,GreenLeaf,1.272367557,0.3448705,crab,granulifera,PAL,red
PAL6,GreenLeaf,4.111525726,7.493225,crab,granulifera,PAL,red
PAL7,GreenLeaf,4.523142509,1.273537,crab,granulifera,PAL,red
PAL8,GreenLeaf,5.780416651,6.9167317,crab,granulifera,PAL,red
PAL1,LeafLitter,5.259540711,0.6297685,crab,granulifera,PAL,red
PAL2,LeafLitter,5.109502232,0.9146024,crab,granulifera,PAL,red
PAL3,LeafLitter,1.402696687,0.0934028,crab,granulifera,PAL,red
PAL4,LeafLitter,5.342951532,2.9660882,crab,granulifera,PAL,red
PAL5,LeafLitter,0.023851677,1.8426039,crab,granulifera,PAL,red
PAL6,LeafLitter,2.815306492,5.9954915,crab,granulifera,PAL,red
PAL7,LeafLitter,3.226923275,2.7712705,crab,granulifera,PAL,red
PAL8,LeafLitter,4.484197416,5.4189983,crab,granulifera,PAL,red
PAL1,trunk,5.417755717,0.479232,crab,granulifera,PAL,red
PAL2,trunk,5.267717238,0.1943981,crab,granulifera,PAL,red
PAL3,trunk,1.560911693,1.0155977,crab,granulifera,PAL,red
PAL4,trunk,5.501166537,1.8570877,crab,granulifera,PAL,red
PAL5,trunk,0.134363329,2.9516044,crab,granulifera,PAL,red
PAL6,trunk,2.973521498,4.8864911,crab,granulifera,PAL,red
PAL7,trunk,3.385138281,3.880271,crab,granulifera,PAL,red
PAL8,trunk,4.642412422,4.3099978,crab,granulifera,PAL,red
PAL1,GreenLeaf,16.02197842,2.884034,lizard,granulifera,PAL,red
PAL2,GreenLeaf,15.39095421,3.0901267,lizard,granulifera,PAL,red
PAL3,GreenLeaf,7.859718514,2.421839,lizard,granulifera,PAL,red
PAL4,GreenLeaf,16.77435946,5.3160381,lizard,granulifera,PAL,red
PAL5,GreenLeaf,4.670751286,0.4615476,lizard,granulifera,PAL,red
PAL6,GreenLeaf,11.47377618,8.3320727,lizard,granulifera,PAL,red
PAL7,GreenLeaf,12.0581696,0.5530657,lizard,granulifera,PAL,red
PAL8,GreenLeaf,14.69247356,7.7757479,lizard,granulifera,PAL,red
PAL1,LeafLitter,12.07049553,1.1510534,lizard,granulifera,PAL,red
PAL2,LeafLitter,11.43767928,1.3571462,lizard,granulifera,PAL,red
PAL3,LeafLitter,4.358007407,0.6888585,lizard,granulifera,PAL,red
PAL4,LeafLitter,12.83752782,3.5830575,lizard,granulifera,PAL,red
PAL5,LeafLitter,2.381339005,1.2714329,lizard,granulifera,PAL,red
PAL6,LeafLitter,7.669564183,6.5990921,lizard,granulifera,PAL,red
PAL7,LeafLitter,8.095997119,2.2860462,lizard,granulifera,PAL,red
PAL8,LeafLitter,10.77413434,6.0427674,lizard,granulifera,PAL,red
PAL1,trunk,12.64241489,0.1148011,lizard,granulifera,PAL,red
PAL2,trunk,12.00868678,0.3208939,lizard,granulifera,PAL,red
PAL3,trunk,4.810660185,0.3473938,lizard,granulifera,PAL,red
PAL4,trunk,13.4091208,2.5468052,lizard,granulifera,PAL,red
PAL5,trunk,2.429754908,2.3076852,lizard,granulifera,PAL,red
PAL6,trunk,8.211901972,5.5628398,lizard,granulifera,PAL,red
PAL7,trunk,8.672289061,3.3222985,lizard,granulifera,PAL,red
PAL8,trunk,11.34057614,5.006515,lizard,granulifera,PAL,red
SAN1,GreenLeaf,15.62791523,8.0404408,bird,granulifera,SAN,red
SAN2,GreenLeaf,11.88667172,11.5930052,bird,granulifera,SAN,red
SAN3,GreenLeaf,10.56051858,12.1742135,bird,granulifera,SAN,red
SAN4,GreenLeaf,6.347405895,2.8305232,bird,granulifera,SAN,red
SAN5,GreenLeaf,7.408835845,11.8362583,bird,granulifera,SAN,red
SAN6,GreenLeaf,14.1566168,18.2382437,bird,granulifera,SAN,red
SAN7,GreenLeaf,8.924094817,10.1670111,bird,granulifera,SAN,red
SAN8,GreenLeaf,12.05530147,12.2178623,bird,granulifera,SAN,red
SAN1,LeafLitter,11.27335097,4.1647103,bird,granulifera,SAN,red
SAN2,LeafLitter,7.486280453,7.7172747,bird,granulifera,SAN,red
SAN3,LeafLitter,6.205011525,8.298483,bird,granulifera,SAN,red
