individual,substrate,dS,dL,predator,species,locality,morph
PAL4,GreenLeaf,9.89574912,3.7157196,lizard,granulifera,PAL,red
PAL5,GreenLeaf,3.037983046,0.1466005,lizard,granulifera,PAL,red
PAL6,GreenLeaf,6.839618228,7.2225478,lizard,granulifera,PAL,red
PAL7,GreenLeaf,7.129267154,1.7470821,lizard,granulifera,PAL,red
PAL8,GreenLeaf,8.772191873,6.1718795,lizard,granulifera,PAL,red
PAL1,LeafLitter,7.07876441,0.2201649,lizard,granulifera,PAL,red
PAL2,LeafLitter,6.625372803,0.0121953,lizard,granulifera,PAL,red
PAL3,LeafLitter,2.778724095,0.0427213,lizard,granulifera,PAL,red
PAL4,LeafLitter,7.544608887,2.3193369,lizard,granulifera,PAL,red
PAL5,LeafLitter,1.585857289,1.5429832,lizard,granulifera,PAL,red
PAL6,LeafLitter,4.570470622,5.8261651,lizard,granulifera,PAL,red
PAL7,LeafLitter,4.750687003,3.1434648,lizard,granulifera,PAL,red
PAL8,LeafLitter,6.434240647,4.7754968,lizard,granulifera,PAL,red
PAL1,trunk,7.461969042,1.3256668,lizard,granulifera,PAL,red
PAL2,trunk,7.01095231,1.0933066,lizard,granulifera,PAL,red
PAL3,trunk,3.081300956,1.0627806,lizard,granulifera,PAL,red
PAL4,trunk,7.924107339,1.2138349,lizard,granulifera,PAL,red
PAL5,trunk,1.668198939,2.6484851,lizard,granulifera,PAL,red
PAL6,trunk,4.927843525,4.7206631,lizard,granulifera,PAL,red
PAL7,trunk,5.132188714,4.2489667,lizard,granulifera,PAL,red
PAL8,trunk,6.810274123,3.6699948,lizard,granulifera,PAL,red
SAN1,GreenLeaf,15.81962329,8.0404408,bird,granulifera,SAN,red
SAN2,GreenLeaf,12.05258025,11.5930052,bird,granulifera,SAN,red
SAN3,GreenLeaf,10.77482266,12.1742135,bird,granulifera,SAN,red
SAN4,GreenLeaf,6.409072865,2.8305232,bird,granulifera,SAN,red
SAN5,GreenLeaf,7.478996571,11.8362583,bird,granulifera,SAN,red
SAN6,GreenLeaf,14.37637431,18.2382437,bird,granulifera,SAN,red
SAN7,GreenLeaf,9.07539722,10.1670111,bird,granulifera,SAN,red
SAN8,GreenLeaf,12.29187782,12.2178623,bird,granulifera,SAN,red
SAN1,LeafLitter,11.44108148,4.1647103,bird,granulifera,SAN,red
SAN2,LeafLitter,7.648915914,7.7172747,bird,granulifera,SAN,red
SAN3,LeafLitter,6.412946037,8.298483,bird,granulifera,SAN,red
SAN4,LeafLitter,3.771503394,1.0452073,bird,granulifera,SAN,red
SAN5,LeafLitter,3.59517498,7.9605278,bird,granulifera,SAN,red
SAN6,LeafLitter,9.921681571,14.3625132,bird,granulifera,SAN,red
SAN7,LeafLitter,5.130390229,6.2912806,bird,granulifera,SAN,red
SAN8,LeafLitter,7.892189582,8.3421318,bird,granulifera,SAN,red
SAN1,trunk,12.04016269,2.1174056,bird,granulifera,SAN,red
SAN2,trunk,8.26090401,5.66997,bird,granulifera,SAN,red
SAN3,trunk,7.009812256,6.2511783,bird,granulifera,SAN,red
SAN4,trunk,3.954761766,3.092512,bird,granulifera,SAN,red
SAN5,trunk,4.070396237,5.9132231,bird,granulifera,SAN,red
SAN6,trunk,10.53910746,12.3152085,bird,granulifera,SAN,red
SAN7,trunk,5.641754885,4.2439759,bird,granulifera,SAN,red
SAN8,trunk,8.506983126,6.2948271,bird,granulifera,SAN,red
SAN1,GreenLeaf,6.680058234,3.0380261,crab,granulifera,SAN,red
SAN2,GreenLeaf,3.55754626,4.3629042,crab,granulifera,SAN,red
SAN3,GreenLeaf,3.130032489,4.9809639,crab,granulifera,SAN,red
