wl,PAL.LeafLitter.1,PAL.LeafLitter.2,PAL.LeafLitter,PAL.LeafLitter,PAL.trunk.1,PAL.trunk.2,PAL.trunk,PAL.trunk,PAL.GreenLeaf,PAL.GreenLeaf,SAN.GreenLeaf,SAN.GreenLeaf,SAN.trunk,SAN.trunk,SAN.trunk,SAN.trunk,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,DAM.trunk,DAM.trunk,DAM.trunk,DAM.trunk,DAM.GreenLeaf,DAM.GreenLeaf,DAM.LeafLitter,DAM.LeafLitter,DAM.LeafLitter,DAM.LeafLitter,DAM.LeafLitter,ESQ.LeafLitter,ESQ.LeafLitter,ESQ.LeafLitter,ESQ.LeafLitter,ESQ.GreenLeaf,ESQ.GreenLeaf,ESQ.GreenLeaf,ESQ.GreenLeaf,ESQ.trunk,ESQ.trunk,ESQ.trunk,ESQ.trunk
210.185,17.88,-1.45,23.58,-0.29,-12.34,34.95,4.71,-8.22,65.7,-184.21,-1152.632,271.186,109.22,109.22,217.92,85.48,-68.878,-70.918,62.68,-52.77,283.333,288.889,-19.38,2.812,49.61,-353.333,226.829,-125.424,220.18,-64.95,-129.29,16.88,62.24,10.82,39.25,61.56,131.39,134.68,74.6,70.36,93.48,-150.24,-194.37,7.66,107.47
210.662,22.62,-6.58,26,-10,-13.58,43.2,3.1,-8.01,-38.38,-216.8,-808,257.576,73.55,73.55,192.23,81.22,-48.544,-65.049,33.53,-66.17,312.821,420.513,6.01,-2.35,-27.45,-135.135,262.025,-454.545,131.43,-109.38,-267.56,20.89,63.57,10.21,12.02,45.89,128.09,152.22,78.96,53.72,78.4,-105.61,-178.51,-13.76,88.53
211.139,23.16,1.99,25.04,-7.06,-15.09,58.5,5.55,-15.74,-52.6,-78.22,-1068.421,-66.071,53.88,53.88,185.3,69.4,-79.355,-78.065,25.18,-81.43,220,252.727,15.95,2.278,-55.56,-196.552,434.286,251.786,21.1,-70.85,-166.67,33.23,61.1,5.97,22.79,50.37,126.75,140.08,82.91,63.88,74.91,-119.31,-213.86,-10.11,79.32
211.617,21.69,15.03,21.58,-10.08,-6.52,57.08,-4.47,-19.37,-38.34,-12.5,3860,-251.22,48.86,48.86,190.25,61,-110.744,-121.488,20.82,-128.98,132.099,143.21,21.59,24.545,-29.7,-168.831,-1140,243.902,5.35,-40.02,-92.79,30.38,54.99,-31.96,-36.79,13.68,113.56,119.35,76.18,21.58,69.7,-172.3,-296.62,-39.39,28.18
212.094,37.83,20.63,12.74,-5.48,2.36,60.49,-7.53,-19.31,-31.96,10.56,1533.333,-728.571,58.26,58.26,231.83,71.26,-175.926,-141.667,-10.48,-149.37,471.429,428.571,24.94,13.176,-22.38,-141.176,-11.34,500,-14.59,-23.27,-69.26,30.9,54.89,-64.85,-68.75,-16.87,162.97,153.13,110.94,51.09,17.35,-158.57,-266.43,-32.19,19.84
212.571,36.97,27.81,10.94,-0.68,1.11,70.08,-6.39,-24.68,-49.8,19.81,6466.667,1925,57.53,57.53,243.52,72.29,-171.212,-103.03,-16.15,-120.28,-681.818,-154.545,20.45,1.84,-32.38,-203.883,-75,375,-28.26,-35.91,-96.49,39.27,46.2,-42.08,-61.11,-3.88,147.09,156.12,76.39,76.53,35.42,-83.16,-144.39,6.94,42.08
213.048,30.38,13.71,-1.56,-2.74,-10.5,74.36,-12.89,-24.86,-46.11,23.88,1163.158,529.167,63.63,63.63,266.47,87.85,-126.667,-83.03,-14.17,-92.01,-1071.429,-285.714,22.24,16.73,-32.6,-230.928,-2825,258.333,-25.45,-45.31,-89.76,57.33,50.95,-48.75,-63.33,22.78,131.53,145.01,89.72,92.08,30.97,-124.34,-202.63,40.28,64.3
213.526,26.85,15.26,-9.87,-1.45,-3.07,61.99,-11.44,-12.46,-39.03,18.54,810.345,-259.259,51.45,51.45,320.23,85.74,-84.574,-63.83,-23.21,-106.69,-203.448,24.138,23.71,24.914,-37.3,-135.971,577.778,-140.741,-23.54,-42.93,-96.71,59.36,43.85,-68.75,-122.41,-6.02,197.2,190.53,163.36,160.13,-45.04,-220.23,-361.8,65.94,96.33
214.003,27.86,16.78,-2.51,-3.21,9.1,64.02,-6.56,-13.74,-47.38,6.05,831.034,68.182,22.8,22.8,242.59,89.44,-51.429,-26.667,-12.8,-82.9,-11.594,37.681,33.04,26.049,-78.34,-137.121,509.524,40.909,-22.25,-38.23,-118.81,50.4,31.07,-154.85,-449.97,-252.74,502.08,324.99,393.03,515.95,-422.89,-316.18,-477.94,223.59,199.28
214.48,13.88,14.59,-22.49,-10.53,10.59,59.04,-28.3,-29.93,-40.91,33.71,500,56.25,39.55,39.55,208.54,114.29,-30.579,-16.529,5.33,-59.25,6.494,41.558,25.55,21.324,-41.53,-143.75,3350,-6.25,-7.34,-24.11,-77.67,43.39,28.57,151.58,-1062.6,-593.78,604.76,606.3,1134.5,1336.09,-551.6,-1148,-1576,528.18,673.5
